readout_deg,correction_shape_deg,correction_absolute_deg,sigma_deg
-95.000,0.110,6.233,0.718
-86.333,1.306,7.429,0.986
-77.667,2.503,8.626,0.448
-69.000,3.699,9.822,0.718
-60.667,5.229,11.352,0.448
-49.000,3.425,9.548,0.718
-37.000,1.288,7.411,0.718
-23.333,-2.516,3.607,0.279
-11.000,-4.986,1.137,0.718
-1.333,-4.789,1.333,0.279
6.333,-2.593,3.530,0.448
15.000,-1.397,4.726,0.308
23.333,0.133,6.256,0.553
32.333,0.996,7.119,0.883
42.667,0.526,6.648,0.810
54.667,-1.611,4.511,0.810
64.667,-1.748,4.374,0.810
73.000,-0.219,5.904,1.096
82.000,0.644,6.767,1.096
