t,ns,marker_id,track_id,boresight_deg,angle_in_frame_deg,gimbal_yaw_deg,corrected_yaw_deg,yaw_correction_valid,yaw_sigma_deg,angle_error_deg,miss_distance_m,range_m
1786971774.506,,0,,,,-89.140,-88.222,True,0.948,67.815,204.46,220.81
1786971774.506,,0,,,,-89.140,-88.222,True,0.948,141.301,124.03,198.38
1786971774.756,,0,,,,-89.510,-88.643,True,0.937,141.409,123.66,198.25
1786971774.756,,0,,,,-89.510,-88.643,True,0.937,67.669,204.25,220.81
1786971774.906,,0,,,,-89.510,-88.643,True,0.937,141.492,123.39,198.18
1786971774.906,,0,,,,-89.510,-88.643,True,0.937,67.589,204.13,220.81
1786971775.406,,0,,,,-90.090,-89.303,True,0.919,67.398,203.85,220.81
1786971775.406,,0,,,,-90.090,-89.303,True,0.919,141.891,122.16,197.93
1786971775.856,,0,,,,-89.580,-88.722,True,0.934,141.555,122.93,197.71
1786971775.856,,0,,,,-89.580,-88.722,True,0.934,67.315,203.73,220.81
1786971777.181,,0,,,,-90.490,-89.758,True,0.908,142.230,120.68,197.03
1786971777.181,,0,,,,-90.490,-89.758,True,0.908,66.256,202.12,220.81
1786971779.856,,0,,,,-89.310,-88.415,True,0.942,67.189,203.54,220.81
1786971779.856,,0,,,,-89.310,-88.415,True,0.942,142.286,119.72,195.71
1786971780.381,,0,,,,-88.740,-87.766,True,0.959,68.921,206.03,220.81
1786971780.381,,0,,,,-88.740,-87.766,True,0.959,144.652,113.07,195.44
1786971790.706,,0,,,,-90.390,-89.644,True,0.911,53.605,177.74,220.81
1786971790.706,,0,,,,-90.390,-89.644,True,0.911,135.701,133.72,191.46
1786971801.056,,0,,,,-90.000,-89.200,True,0.922,68.646,205.65,220.81
1786971801.056,,0,,,,-90.000,-89.200,True,0.922,153.014,85.29,187.97
1786971801.206,,0,,,,-89.150,-88.233,True,0.947,153.624,83.48,187.91
1786971801.206,,0,,,,-89.150,-88.233,True,0.947,69.183,206.39,220.81
1786971804.006,,0,,,,-91.410,-90.805,True,0.880,154.692,79.98,187.11
1786971804.006,,0,,,,-91.410,-90.805,True,0.880,67.845,204.51,220.81
1786971805.506,,0,,,,-91.190,-90.554,True,0.887,70.193,207.74,220.81
1786971805.506,,0,,,,-91.190,-90.554,True,0.887,155.919,76.14,186.61
1786971810.431,,0,,,,-91.690,-91.123,True,0.872,156.045,75.05,184.84
1786971810.431,,0,,,,-91.690,-91.123,True,0.872,73.046,211.21,220.81
1786971811.331,,0,,,,-90.470,-89.735,True,0.908,156.308,74.10,184.40
1786971811.331,,0,,,,-90.470,-89.735,True,0.908,74.932,213.22,220.81
1786971811.656,,0,,,,-90.740,-90.042,True,0.900,75.724,213.99,220.81
1786971811.656,,0,,,,-90.740,-90.042,True,0.900,156.868,72.39,184.26
1786971811.806,,0,,,,-91.170,-90.532,True,0.888,75.814,214.07,220.81
1786971811.806,,0,,,,-91.170,-90.532,True,0.888,157.130,71.59,184.20
1786971811.931,,0,,,,-90.760,-90.065,True,0.900,157.058,71.78,184.15
1786971811.931,,0,,,,-90.760,-90.065,True,0.900,75.880,214.14,220.81
1786971812.031,,0,,,,-90.370,-89.621,True,0.911,75.895,214.15,220.81
1786971812.031,,0,,,,-90.370,-89.621,True,0.911,157.021,71.87,184.11
1786971812.106,,0,,,,-85.240,-83.783,True,0.966,75.950,214.20,220.81
1786971812.106,,0,,,,-85.240,-83.783,True,0.966,157.099,71.64,184.09
1786971812.181,,0,,,,-76.640,-73.995,True,0.562,76.047,214.29,220.81
1786971812.181,,0,,,,-76.640,-73.995,True,0.562,155.194,77.23,184.07
1786971812.281,,0,,,,-69.420,-65.779,True,0.764,148.421,96.38,184.04
1786971812.281,,0,,,,-69.420,-65.779,True,0.764,76.127,214.37,220.81
1786971812.781,,0,,,,-66.460,-62.294,True,0.700,137.396,124.42,183.81
1786971812.781,,0,,,,-66.460,-62.294,True,0.700,79.723,217.26,220.81
1786971814.906,,0,,,,-16.460,-20.352,True,0.599,73.064,175.02,182.95
1786971814.906,,0,,,,-16.460,-20.352,True,0.599,67.532,204.05,220.81
1786971814.981,,0,,,,-16.440,-20.336,True,0.600,73.299,175.20,182.92
1786971814.981,,0,,,,-16.440,-20.336,True,0.600,67.793,204.43,220.81
1786971815.056,,0,,,,-16.310,-20.232,True,0.604,73.555,175.42,182.90
1786971815.056,,0,,,,-16.310,-20.232,True,0.604,68.057,204.81,220.81
1786971815.156,,0,,,,-16.090,-20.056,True,0.611,68.218,205.04,220.81
1786971815.156,,0,,,,-16.090,-20.056,True,0.611,73.702,175.52,182.86
1786971815.331,,0,,,,-15.630,-19.688,True,0.625,68.729,205.76,220.81
1786971815.331,,0,,,,-15.630,-19.688,True,0.625,74.103,175.80,182.80
1786971815.531,,0,,,,-15.180,-19.329,True,0.640,69.283,206.53,220.81
1786971815.531,,0,,,,-15.180,-19.329,True,0.640,74.521,176.09,182.71
1786971815.681,,0,,,,-3.980,-8.823,True,0.494,72.993,174.67,182.66
1786971815.681,,0,,,,-3.980,-8.823,True,0.494,70.243,207.81,220.81
1786971815.806,,0,,,,20.240,19.805,True,0.544,71.647,209.58,220.81
1786971815.806,,0,,,,20.240,19.805,True,0.544,58.104,155.02,182.59
1786971816.031,,0,,,,25.200,25.512,True,0.683,71.436,209.32,220.81
1786971816.031,,0,,,,25.200,25.512,True,0.683,36.586,108.78,182.50
1786971816.256,,0,,,,25.790,26.159,True,0.702,71.241,209.08,220.81
1786971816.256,,0,,,,25.790,26.159,True,0.702,36.362,108.16,182.43
1786971817.831,,0,,,,-1.870,-6.670,True,0.420,103.231,214.95,220.81
1786971817.831,,0,,,,-1.870,-6.670,True,0.420,92.158,181.75,181.88
1786971818.006,,0,,,,-3.300,-8.129,True,0.469,97.854,180.10,181.81
1786971818.031,,0,,,,-3.300,-8.129,True,0.469,103.177,214.99,220.81
1786971818.081,,0,,,,-3.530,-8.364,True,0.477,103.096,215.06,220.81
1786971818.081,,0,,,,-3.580,-8.415,True,0.479,98.104,179.96,181.77
1786971818.231,,0,,,,-3.910,-8.752,True,0.491,103.141,215.03,220.81
1786971818.231,,0,,,,-3.910,-8.752,True,0.491,98.465,179.74,181.72
1786971820.505,,0,,,,-3.590,-8.425,True,0.479,86.421,220.38,220.81
1786971820.505,,0,,,,-3.590,-8.425,True,0.479,83.100,179.61,180.92
1786971820.605,,0,,,,-3.760,-8.599,True,0.486,83.212,179.62,180.89
1786971820.630,,0,,,,-3.760,-8.599,True,0.486,86.381,220.37,220.81
1786971820.705,,0,,,,-5.360,-10.231,True,0.546,83.242,179.60,180.86
1786971820.730,,0,,,,-5.360,-10.231,True,0.546,86.298,220.35,220.81
1786971820.855,,0,,,,-7.120,-12.027,True,0.615,86.182,220.32,220.81
1786971820.855,,0,,,,-7.120,-12.027,True,0.615,85.412,180.24,180.82
1786971820.955,,0,,,,-7.690,-12.609,True,0.638,86.398,180.43,180.79
1786971820.955,,0,,,,-7.690,-12.609,True,0.638,85.973,220.26,220.81
