t,ns,marker_id,track_id,boresight_deg,angle_in_frame_deg,gimbal_yaw_deg,corrected_yaw_deg,yaw_correction_valid,yaw_sigma_deg,angle_error_deg,miss_distance_m,range_m
1786962006.077,,0,,,,0.130,-4.240,True,0.425,-106.975,386.31,403.91
1786962006.152,,0,,,,0.120,-4.253,True,0.425,-107.057,386.14,403.91
1786962006.227,,0,,,,0.020,-4.382,True,0.424,-107.194,385.86,403.91
1786962006.302,,0,,,,-0.120,-4.562,True,0.421,-107.195,385.86,403.91
1786962006.377,,0,,,,-0.210,-4.678,True,0.420,-107.199,385.85,403.91
1786962006.452,,0,,,,-0.350,-4.858,True,0.418,-107.216,385.82,403.91
1786962006.552,,0,,,,-0.340,-4.845,True,0.418,-107.174,385.90,403.91
1786962006.602,,0,,,,-0.300,-4.794,True,0.418,-107.100,386.06,403.92
1786962006.677,,0,,,,-0.190,-4.652,True,0.420,-107.145,385.97,403.92
1786962006.752,,0,,,,-0.080,-4.511,True,0.422,-107.221,385.81,403.92
1786962006.802,,0,,,,-0.010,-4.421,True,0.423,-107.330,385.59,403.92
1786962006.877,,0,,,,0.030,-4.369,True,0.424,-107.372,385.50,403.92
1786962006.952,,0,,,,-0.040,-4.459,True,0.423,-107.481,385.27,403.93
1786962007.027,,0,,,,-0.150,-4.601,True,0.421,-107.634,384.95,403.93
1786962007.152,,0,,,,-0.430,-4.961,True,0.416,-107.687,384.84,403.94
1786962007.227,,0,,,,-0.570,-5.141,True,0.414,-107.732,384.75,403.94
1786962007.277,,0,,,,-0.610,-5.193,True,0.413,-107.746,384.72,403.94
1786962007.377,,0,,,,-0.610,-5.193,True,0.413,-107.705,384.81,403.94
1786962007.477,,0,,,,-0.530,-5.090,True,0.415,-107.734,384.75,403.94
1786962007.553,,0,,,,-0.450,-4.987,True,0.416,-107.777,384.66,403.94
1786962007.627,,0,,,,-0.390,-4.910,True,0.417,-107.855,384.49,403.95
1786962007.702,,0,,,,-0.350,-4.858,True,0.418,-107.900,384.39,403.95
1786962007.752,,0,,,,-0.290,-4.781,True,0.419,-107.925,384.34,403.94
1786962007.852,,0,,,,-0.280,-4.768,True,0.419,-107.982,384.22,403.95
1786962007.927,,0,,,,-0.290,-4.781,True,0.419,-108.022,384.13,403.95
1786962008.052,,0,,,,-0.260,-4.742,True,0.419,-108.107,383.95,403.95
1786962008.127,,0,,,,-0.230,-4.704,True,0.420,-108.144,383.87,403.95
1786962008.202,,0,,,,-0.160,-4.614,True,0.421,-108.211,383.73,403.96
1786962008.302,,0,,,,-0.140,-4.588,True,0.421,-108.356,383.41,403.96
1786962008.377,,0,,,,-0.180,-4.639,True,0.420,-108.380,383.36,403.97
1786962008.452,,0,,,,-0.320,-4.819,True,0.418,-108.460,383.19,403.97
1786962008.527,,0,,,,-0.440,-4.974,True,0.416,-108.489,383.12,403.97
1786962008.627,,0,,,,-0.540,-5.103,True,0.415,-108.494,383.11,403.98
