t,ns,marker_id,track_id,boresight_deg,angle_in_frame_deg,gimbal_yaw_deg,corrected_yaw_deg,yaw_correction_valid,yaw_sigma_deg,angle_error_deg,miss_distance_m,range_m
1786962005.025,,0,,,,-0.010,-4.421,True,0.423,-102.063,394.96,403.87
1786962005.125,,0,,,,-0.050,-4.472,True,0.422,-102.012,395.03,403.88
1786962005.225,,0,,,,0.000,-4.408,True,0.423,-101.992,395.06,403.88
1786962005.325,,0,,,,-0.020,-4.433,True,0.423,-102.088,394.92,403.88
1786962005.375,,0,,,,-0.040,-4.459,True,0.423,-102.158,394.82,403.88
1786962005.450,,0,,,,-0.140,-4.588,True,0.421,-102.175,394.80,403.88
1786962005.525,,0,,,,-0.180,-4.639,True,0.420,-102.217,394.74,403.89
1786962005.650,,0,,,,-0.300,-4.794,True,0.418,-102.219,394.74,403.89
1786962005.725,,0,,,,-0.260,-4.742,True,0.419,-102.207,394.76,403.89
1786962005.800,,0,,,,-0.130,-4.575,True,0.421,-102.316,394.60,403.90
1786962005.900,,0,,,,-0.040,-4.459,True,0.423,-102.428,394.44,403.90
1786962005.975,,0,,,,0.040,-4.356,True,0.424,-102.470,394.38,403.90
1786962006.075,,0,,,,0.130,-4.240,True,0.425,-102.605,394.17,403.91
1786962006.150,,0,,,,0.120,-4.253,True,0.425,-102.683,394.05,403.91
1786962006.225,,0,,,,0.020,-4.382,True,0.424,-102.792,393.88,403.91
1786962006.300,,0,,,,-0.120,-4.562,True,0.421,-102.753,393.95,403.91
1786962006.375,,0,,,,-0.210,-4.678,True,0.420,-102.731,393.98,403.91
1786962006.450,,0,,,,-0.350,-4.858,True,0.418,-102.708,394.02,403.91
1786962006.550,,0,,,,-0.340,-4.845,True,0.418,-102.669,394.08,403.91
1786962006.600,,0,,,,-0.300,-4.794,True,0.418,-102.607,394.18,403.92
1786962006.675,,0,,,,-0.190,-4.652,True,0.420,-102.671,394.08,403.92
1786962006.750,,0,,,,-0.080,-4.511,True,0.422,-102.790,393.90,403.92
1786962006.800,,0,,,,-0.010,-4.421,True,0.423,-102.908,393.71,403.92
1786962006.875,,0,,,,0.030,-4.369,True,0.424,-102.973,393.61,403.92
1786962006.950,,0,,,,-0.040,-4.459,True,0.423,-103.062,393.48,403.93
1786962007.050,,0,,,,-0.150,-4.601,True,0.421,-103.184,393.29,403.93
