t,ns,marker_id,angle_error_deg,miss_distance_m,range_m
1788858279.714,selected_bearing_rays,0,-15.824,48.32,177.19
1788858279.734,selected_bearing_rays,0,-15.189,46.41,177.15
1788858279.753,selected_bearing_rays,0,-13.655,41.82,177.13
1788858279.773,selected_bearing_rays,0,-12.925,39.61,177.10
1788858279.800,selected_bearing_rays,0,-12.375,37.95,177.06
1788858279.825,selected_bearing_rays,0,-12.004,36.82,177.04
1788858279.855,selected_bearing_rays,0,-11.327,34.76,176.99
1788858279.911,selected_bearing_rays,0,-10.858,33.33,176.92
1788858279.932,selected_bearing_rays,0,-11.239,34.48,176.90
1788858279.949,selected_bearing_rays,0,-11.776,36.10,176.88
1788858279.978,selected_bearing_rays,0,-12.663,38.77,176.84
1788858280.003,selected_bearing_rays,0,-12.925,39.55,176.81
1788858280.031,selected_bearing_rays,0,-13.689,41.83,176.76
1788858280.052,selected_bearing_rays,0,-13.940,42.57,176.72
1788858280.072,selected_bearing_rays,0,-14.161,43.23,176.69
1788858280.105,selected_bearing_rays,0,-14.450,44.08,176.65
1788858280.133,selected_bearing_rays,0,-14.760,44.99,176.59
1788858280.158,selected_bearing_rays,0,-15.009,45.72,176.54
1788858280.178,selected_bearing_rays,0,-15.232,46.37,176.51
1788858280.203,selected_bearing_rays,0,-15.286,46.53,176.48
1788858280.233,selected_bearing_rays,0,-15.190,46.23,176.43
1788858280.248,selected_bearing_rays,0,-15.028,45.74,176.39
1788858280.277,selected_bearing_rays,0,-14.850,45.20,176.36
1788858280.313,selected_bearing_rays,0,-14.702,44.75,176.31
1788858280.341,selected_bearing_rays,0,-14.023,42.72,176.28
1788858280.356,selected_bearing_rays,0,-13.486,41.11,176.26
1788858280.386,selected_bearing_rays,0,-12.676,38.67,176.23
1788858280.421,selected_bearing_rays,0,-12.111,36.97,176.20
1788858280.440,selected_bearing_rays,0,-11.559,35.30,176.19
1788858280.468,selected_bearing_rays,0,-11.069,33.82,176.16
1788858280.494,selected_bearing_rays,0,-11.162,34.10,176.13
1788858280.523,selected_bearing_rays,0,-12.198,37.21,176.10
1788858280.552,selected_bearing_rays,0,-12.573,38.33,176.07
1788858280.579,selected_bearing_rays,0,-13.327,40.58,176.03
1788858280.600,selected_bearing_rays,0,-13.829,42.07,176.01
1788858280.635,selected_bearing_rays,0,-14.461,43.94,175.96
1788858280.660,selected_bearing_rays,0,-14.788,44.90,175.92
1788858280.681,selected_bearing_rays,0,-15.025,45.60,175.89
1788858280.714,selected_bearing_rays,0,-15.262,46.29,175.84
1788858280.747,selected_bearing_rays,0,-15.493,46.95,175.78
1788858280.771,selected_bearing_rays,0,-16.072,48.66,175.75
1788858280.793,selected_bearing_rays,0,-15.932,48.23,175.72
1788858280.815,selected_bearing_rays,0,-16.078,48.66,175.69
1788858280.843,selected_bearing_rays,0,-16.024,48.49,175.66
1788858280.869,selected_bearing_rays,0,-15.871,48.02,175.60
1788858280.890,selected_bearing_rays,0,-15.960,48.28,175.57
1788858280.910,selected_bearing_rays,0,-15.488,46.88,175.54
1788858280.939,selected_bearing_rays,0,-15.215,46.06,175.50
1788858280.958,selected_bearing_rays,0,-14.904,45.14,175.48
1788858280.972,selected_bearing_rays,0,-14.654,44.39,175.46
1788858280.996,selected_bearing_rays,0,-14.389,43.60,175.43
1788858281.019,selected_bearing_rays,0,-14.155,42.89,175.40
1788858281.033,selected_bearing_rays,0,-13.948,42.28,175.38
1788858281.064,selected_bearing_rays,0,-13.841,41.95,175.34
1788858281.098,selected_bearing_rays,0,-13.441,40.75,175.30
1788858281.119,selected_bearing_rays,0,-13.521,40.98,175.27
1788858281.138,selected_bearing_rays,0,-13.479,40.85,175.24
1788858281.171,selected_bearing_rays,0,-12.686,38.48,175.20
1788858281.209,selected_bearing_rays,0,-12.730,38.60,175.16
1788858281.242,selected_bearing_rays,0,-12.231,37.10,175.13
1788858281.261,selected_bearing_rays,0,-12.788,38.76,175.12
1788858281.284,selected_bearing_rays,0,-13.132,39.78,175.10
1788858281.308,selected_bearing_rays,0,-13.165,39.87,175.06
1788858281.335,selected_bearing_rays,0,-13.267,40.17,175.04
1788858281.357,selected_bearing_rays,0,-13.163,39.85,175.01
1788858281.372,selected_bearing_rays,0,-13.281,40.20,175.00
1788858281.394,selected_bearing_rays,0,-13.433,40.65,174.98
1788858281.428,selected_bearing_rays,0,-14.024,42.39,174.93
1788858281.459,selected_bearing_rays,0,-14.428,43.58,174.90
1788858281.498,selected_bearing_rays,0,-15.394,46.42,174.86
1788858281.535,selected_bearing_rays,0,-16.168,48.68,174.81
1788858281.558,selected_bearing_rays,0,-16.181,48.70,174.77
1788858281.590,selected_bearing_rays,0,-16.395,49.32,174.73
1788858281.650,selected_bearing_rays,1,-9.671,29.34,174.65
1788858281.651,selected_bearing_rays,0,-15.491,46.65,174.65
1788858281.669,selected_bearing_rays,0,-15.049,45.34,174.62
1788858281.691,selected_bearing_rays,0,-14.847,44.74,174.59
1788858281.732,selected_bearing_rays,0,-14.274,43.03,174.53
1788858281.755,selected_bearing_rays,0,-14.344,43.23,174.51
1788858281.775,selected_bearing_rays,1,-8.735,26.50,174.48
1788858281.801,selected_bearing_rays,1,-8.605,26.10,174.44
1788858281.801,selected_bearing_rays,0,-14.331,43.18,174.44
1788858281.823,selected_bearing_rays,1,-8.599,26.08,174.41
1788858281.853,selected_bearing_rays,0,-14.249,42.92,174.37
1788858281.870,selected_bearing_rays,0,-14.293,43.04,174.35
1788858281.870,selected_bearing_rays,1,-8.476,25.70,174.35
1788858281.887,selected_bearing_rays,0,-14.310,43.09,174.33
1788858281.914,selected_bearing_rays,0,-14.115,42.51,174.31
1788858281.945,selected_bearing_rays,0,-14.444,43.47,174.27
